"id","startHour","startMinute","endHour","endMinute","date_millis","created","booking_title","booking_description"
"1","12","0","16","0","1761177600504","2025-10-08 16:10:38",NULL,NULL
"2","21","0","17","0","1761696000081","2025-10-08 16:33:43",NULL,NULL
"5","4","32","4","29","1761782400483","2025-10-08 18:24:56",NULL,NULL
"11","2","0","12","22","1761264000762","2025-10-08 20:00:03",NULL,NULL
"id","encryptedValue","created"
"1","ej","2025-10-09 03:39:51"
"2","ej","2025-10-09 03:39:54"
"3","d","2025-10-09 03:41:44"
"4","hej","2025-10-09 03:51:59"
"5","gXlMFJbdtcGhP8YoPhkHexGj9zHSdbObZlufy4Mylg==","2025-10-12 19:09:59"
"6","YLs+mX4gtLO1W+c2kkkOP8unYblulzG5wOjTzdwE6K0=","2025-10-12 19:10:50"
"id","projectName","description","created","request_rule"
"1","Lord of the Rings","Film trilogy project","2025-10-08 15:13:09","MANUAL"
"3","ddd","dd","2025-10-09 03:46:30","MANUAL"
"4","dd","dd","2025-10-09 03:50:14","MANUAL"
"5","Alexanders Film","Coolt","2025-10-09 05:20:01","MANUAL"
"10","cd","dd","2025-10-09 07:31:34","MANUAL"
"12","xdxx","xxxx","2025-10-09 07:55:40","MANUAL"
"13","ynyf","sdsd","2025-10-09 08:31:49","MANUAL"
"15","ssss","sss","2025-10-09 09:05:46","MANUAL"
"16","zzxc","dccdd","2025-10-09 09:20:20","MANUAL"
"17","ZccczcxczxcS","ss","2025-10-09 09:41:46","MANUAL"
"id","username","password","email","publicKey","secretKey","first_name","last_name","role","work_role","roles","film_role"
"151","vindiesel","11111111",NULL,NULL,NULL,"Vin","Diesel",NULL,NULL,NULL,NULL
"152","paulwalker","11111111",NULL,NULL,NULL,"Paul","Walker",NULL,NULL,NULL,NULL
"153","michellerodr","11111111",NULL,NULL,NULL,"Michelle","Rodriguez",NULL,NULL,NULL,NULL
"154","jordanabrew","11111111",NULL,NULL,NULL,"Jordana","Brewster",NULL,NULL,NULL,NULL
"155","emiliaclarke","11111111",NULL,NULL,NULL,"Emilia","Clarke",NULL,NULL,NULL,NULL
"156","kitharingto","11111111",NULL,NULL,NULL,"Kit","Harington",NULL,NULL,NULL,NULL
"157","sophiaturner","11111111",NULL,NULL,NULL,"Sophie","Turner",NULL,NULL,NULL,NULL
"158","maisiewillia","11111111",NULL,NULL,NULL,"Maisie","Williams",NULL,NULL,NULL,NULL
"159","seanbean","11111111",NULL,NULL,NULL,"Sean","Bean",NULL,NULL,NULL,NULL
"160","ianmckellen","11111111",NULL,NULL,NULL,"Ian","McKellen",NULL,NULL,NULL,NULL
"161","patrickstewa","11111111",NULL,NULL,NULL,"Patrick","Stewart",NULL,NULL,NULL,NULL
"162","hughjackman","11111111",NULL,NULL,NULL,"Hugh","Jackman",NULL,NULL,NULL,NULL
"163","taronedgert","11111111",NULL,NULL,NULL,"Taron","Egerton",NULL,NULL,NULL,NULL
"164","colinfirth","11111111",NULL,NULL,NULL,"Colin","Firth",NULL,NULL,NULL,NULL
"165","keiraknight","11111111",NULL,NULL,NULL,"Keira","Knightley",NULL,NULL,NULL,NULL
"166","danielcraig","11111111",NULL,NULL,NULL,"Daniel","Craig",NULL,NULL,NULL,NULL
"167","ralphfiennes","11111111",NULL,NULL,NULL,"Ralph","Fiennes",NULL,NULL,NULL,NULL
"168","benedictc","11111111",NULL,NULL,NULL,"Benedict","Cumberbatch",NULL,NULL,NULL,NULL
"169","martinfreem","11111111",NULL,NULL,NULL,"Martin","Freeman",NULL,NULL,NULL,NULL
"170","andyserkis","11111111",NULL,NULL,NULL,"Andy","Serkis",NULL,NULL,NULL,NULL
"171","orlandobloo","11111111",NULL,NULL,NULL,"Orlando","Bloom",NULL,NULL,NULL,NULL
"172","viggomorten","11111111",NULL,NULL,NULL,"Viggo","Mortensen",NULL,NULL,NULL,NULL
"173","seanastin","11111111",NULL,NULL,NULL,"Sean","Astin",NULL,NULL,NULL,NULL
"174","elijahwood","11111111",NULL,NULL,NULL,"Elijah","Wood",NULL,NULL,NULL,NULL
"175","katewinslet","11111111",NULL,NULL,NULL,"Kate","Winslet",NULL,NULL,NULL,NULL
"176","cateblanche","11111111",NULL,NULL,NULL,"Cate","Blanchett",NULL,NULL,NULL,NULL
"177","rooneymara","11111111",NULL,NULL,NULL,"Rooney","Mara",NULL,NULL,NULL,NULL
"178","brielarson","11111111",NULL,NULL,NULL,"Brie","Larson",NULL,NULL,NULL,NULL
"179","tessathomps","11111111",NULL,NULL,NULL,"Tessa","Thompson",NULL,NULL,NULL,NULL
"180","anthonymack","11111111",NULL,NULL,NULL,"Anthony","Mackie",NULL,NULL,NULL,NULL
"181","sebastianst","11111111",NULL,NULL,NULL,"Sebastian","Stan",NULL,NULL,NULL,NULL
"182","paulrudd","11111111",NULL,NULL,NULL,"Paul","Rudd",NULL,NULL,NULL,NULL
"183","evangelinel","11111111",NULL,NULL,NULL,"Evangeline","Lilly",NULL,NULL,NULL,NULL
"184","tomhardy","11111111",NULL,NULL,NULL,"Tom","Hardy",NULL,NULL,NULL,NULL
"185","michaelfass","11111111",NULL,NULL,NULL,"Michael","Fassbender",NULL,NULL,NULL,NULL
"186","aliciavikand","11111111",NULL,NULL,NULL,"Alicia","Vikander",NULL,NULL,NULL,NULL
"187","jakegyllen","11111111",NULL,NULL,NULL,"Jake","Gyllenhaal",NULL,NULL,NULL,NULL
"188","naomiwatts","11111111",NULL,NULL,NULL,"Naomi","Watts",NULL,NULL,NULL,NULL
"189","ewanmcgreg","11111111",NULL,NULL,NULL,"Ewan","McGregor",NULL,NULL,NULL,NULL
"190","liamneeson","11111111",NULL,NULL,NULL,"Liam","Neeson",NULL,NULL,NULL,NULL
"191","andrewgarf","11111111",NULL,NULL,NULL,"Andrew","Garfield",NULL,NULL,NULL,NULL
"192","emmabluntx","11111111",NULL,NULL,NULL,"Emily","Blunt",NULL,NULL,NULL,NULL
"193","johnkrasins","11111111",NULL,NULL,NULL,"John","Krasinski",NULL,NULL,NULL,NULL
"194","florencepug","11111111",NULL,NULL,NULL,"Florence","Pugh",NULL,NULL,NULL,NULL
"195","austinbutle","11111111",NULL,NULL,NULL,"Austin","Butler",NULL,NULL,NULL,NULL
"196","zendesdaya","11111111",NULL,NULL,NULL,"Zendaya","Coleman2",NULL,NULL,NULL,NULL
"197","timoshalame","11111111",NULL,NULL,NULL,"Timothée","Chalamet",NULL,NULL,NULL,NULL
"198","anyataylorj","11111111",NULL,NULL,NULL,"Anya","Taylor-Joy",NULL,NULL,NULL,NULL
"199","anasophiar","11111111",NULL,NULL,NULL,"Ana","deArmas",NULL,NULL,NULL,NULL
"200","rosaperezx","11111111",NULL,NULL,NULL,"Rosie","Perez",NULL,NULL,NULL,NULL
"201","salmahayekx","11111111",NULL,NULL,NULL,"Salma","Hayek",NULL,NULL,NULL,NULL
"202","penelopecru","11111111",NULL,NULL,NULL,"Penélope","Cruz",NULL,NULL,NULL,NULL
"203","sofiavergax","11111111",NULL,NULL,NULL,"Sofía","Vergara",NULL,NULL,NULL,NULL
"204","javierbardx","11111111",NULL,NULL,NULL,"Javier","Bardem",NULL,NULL,NULL,NULL
"205","monicabellx","11111111",NULL,NULL,NULL,"Monica","Bellucci",NULL,NULL,NULL,NULL
"206","rdgosling2","11111111",NULL,NULL,NULL,"Ryan","Gosling2",NULL,NULL,NULL,NULL
"207","nportman2","11111111",NULL,NULL,NULL,"Natalie","Portman2",NULL,NULL,NULL,NULL
"208","cblanchet2","11111111",NULL,NULL,NULL,"Cate","Blanchett2",NULL,NULL,NULL,NULL
"209","kjameswoods","11111111",NULL,NULL,NULL,"James","Woods",NULL,NULL,NULL,NULL
"210","peterjackson","11111111",NULL,NULL,NULL,"Peter","Jackson",NULL,NULL,NULL,NULL
"248","alexander01","11111111",NULL,NULL,NULL,"Alexander","Andersson",NULL,NULL,NULL,NULL
"249","Samuel","$2a$12$R6ZSIVucaVIumoaXCzKm7ufyu5VG.nWJOilATJ9Ww..IcvlYOi.Ry","ssss@gmail.com",NULL,"t3fvWIL/8YQrqo9EkCPnHtM18Mj04L0x79BQW2P2Nk0=","Samuel","Bromee",NULL,NULL,NULL,NULL
"250","Benjamin","$2a$12$oyeddo13vs2j4HlMM8bnE.ndkrW3JVvdV6pW8HYigseDFmUxtMHje","benjamin@gmail.com",NULL,"t8GqTMhpPkNEBfc4z/k7Z8psLIVvtBreEaKizaIOgDM=","Benjamin","Giordano",NULL,NULL,NULL,NULL
"252","Alexander","$2a$12$Qa0qqoKAHMxCsQD.RaBoh.F0Y.jdsgxwtr8fauddg8g8od5quSyYK","alex@jansson",NULL,"MmI3mG0MNVOdvkizWGKS/drIkNHNx/V7XO2XteXZVuE=","Alexander","Jansson",NULL,NULL,NULL,NULL
"253","Alexander1","$2a$12$CIRJQ1QaslhAIg111il5zOxGg1qFgAfpBZDThd6h3MmvHSQxZoKmC","alexanderjsn@l","MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEvqtzhWeTdxszaQY/+QOiqC1RpAOUzNM6mUNjqjg2bJbWLvkYRQ1pFhmtMJKpZHxI9o9j4vV2qaOoBxGZgWjfUg==","MEECAQAwEwYHKoZIzj0CAQYIKoZIzj0DAQcEJzAlAgEBBCAUpMwLmMQsquS097LsutGlV81rXT45M5O2J8JptT3fTA==","Alexander","Jansson",NULL,NULL,NULL,NULL
"254","Benjamin1","$2a$12$iIbezuD.zoMuDt9KEW3FsuGfwlqb/gwKeTuXh8ffsrpBAbbOWePm.","benjamin@gmaillcom","MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEeSZY+H4GczURi1bLXQZD3PlQOaQsIGxxw/MzSHvByUNa137pdfSM6n0/a2O0KOI4jPhEPGXLrdNEx5RZ1cT7hA==","MEECAQAwEwYHKoZIzj0CAQYIKoZIzj0DAQcEJzAlAgEBBCCU6eO3ayxpvJWh+jyq1WOdcWVK72cpZ/0EnGIfskueEg==","Benjamin","Giordano",NULL,NULL,NULL,NULL
"id","booking_id","user_id","project_id","status"
"3","2","171","1","INVITE"
"10","5","174","1","INVITE"
"id","isRead","sender_id","recipient_id","message_id"
"5","0","254","253","5"
"6","0","253","254","6"
"id","user_id","project_id","role","isCreator","isAdmin","hasJoined","isBlocked","requestedDate","join_status"
"4","160","1",NULL,"0","0","1",NULL,"2025-10-08 15:13:09","ACCEPTED"
"5","171","1",NULL,"0","0","1",NULL,"2025-10-08 15:13:09","ACCEPTED"
"6","173","1",NULL,"0","0","1",NULL,"2025-10-08 15:13:09","ACCEPTED"
"7","159","1",NULL,"0","0","1",NULL,"2025-10-08 15:13:09","ACCEPTED"
"10","248","1",NULL,"0","1","1",NULL,"2025-10-08 15:17:24","ACCEPTED"
"28","250","10",NULL,"1","1","1",NULL,"2025-10-09 07:31:34","ACCEPTED"
"30","252","12",NULL,"1","1","1",NULL,"2025-10-09 07:55:40","ACCEPTED"
"31","249","12",NULL,"0","0","0",NULL,"2025-10-09 07:55:57","ACCEPTED"
"32","250","12",NULL,"0","0","0",NULL,"2025-10-09 07:56:01","INVITE"
"35","250","13",NULL,"0","0","0",NULL,"2025-10-09 08:32:03","INVITE"
"36","249","13",NULL,"0","0","0",NULL,"2025-10-09 08:40:18","ACCEPTED"
"41","252","15",NULL,"1","1","1",NULL,"2025-10-09 09:05:46","ACCEPTED"
"43","250","15",NULL,"0","0","0",NULL,"2025-10-09 09:05:59","INVITE"
"44","249","15",NULL,"0","0","0",NULL,"2025-10-09 09:07:04","REQUEST"
"45","252","16",NULL,"1","1","1",NULL,"2025-10-09 09:20:20","ACCEPTED"
"46","252","17",NULL,"1","1","1",NULL,"2025-10-09 09:41:46","ACCEPTED"
"id","user_id","role_id","y_o_e","yoe"
"2","249","31",NULL,NULL
"3","250","29",NULL,NULL
"7","252","35",NULL,NULL
"8","253","29",NULL,NULL
"9","254","33",NULL,NULL
"id","roletype"
"29","regissör"
"30","statist"
"31","producent"
"32","fotograf"
"33","skådespelare"
"34","ljudtekniker"
"35","redigerare"
"36","manusförfattare"
"37","Övrigt"
